Ticker,Index,Close
ANN,47,23.2315
ANN,46,23.5381
ANN,45,23.1286
ANN,44,21.0905
ANN,43,18.8746
ANN,42,19.8016
ANN,41,22.6701
ANN,40,22.6433
ANN,39,16.3621
ANN,38,16.8695
ANN,37,17.6427
ANN,36,16.8974
ANN,35,13.3807
ANN,34,12.9045
ANN,33,11.1902
ANN,32,11.7682
ANN,31,10.7654
ANN,30,11.3572
ANN,29,10.1502
ANN,28,10.3744
ANN,27,9.4487
ANN,26,8.3089
ANN,25,6.9097
ANN,24,7.9813
ANN,23,9.5194
ANN,22,8.6199
ANN,21,8.4245
ANN,20,9.2235
ANN,19,8.7423
ANN,18,7.9724
ANN,17,7.3188
ANN,16,8.2282
ANN,15,7.7849
ANN,14,7.0299
ANN,13,6.4372
ANN,12,5.542999999999999
ANN,11,4.8976
ANN,10,5.0229
ANN,9,3.9423
ANN,8,5.1401
ANN,7,4.6473
ANN,6,4.3393
ANN,5,3.1826
ANN,4,2.7719
ANN,3,4.0721
ANN,2,5.2598
ANN,1,5.3616
ANN,0,7.3298
ANZ,50,24.8
ANZ,49,28.0575
ANZ,48,26.7227
ANZ,47,28.0008
ANZ,46,25.4394
ANZ,45,26.2865
ANZ,44,23.3192
ANZ,43,19.9358
ANZ,42,22.9977
ANZ,41,26.2988
ANZ,40,27.7784
ANZ,39,24.0296
ANZ,38,25.8491
ANZ,37,24.121
ANZ,36,21.4603
ANZ,35,20.5139
ANZ,34,17.3464
ANZ,33,14.8573
ANZ,32,14.3125
ANZ,31,12.5516
ANZ,30,15.2798
ANZ,29,14.6321
ANZ,28,13.6775
ANZ,27,14.135
ANZ,26,14.509
ANZ,25,9.43
ANZ,24,8.5406
ANZ,23,8.7741
ANZ,22,11.0913
ANZ,21,14.843
ANZ,20,15.1668
ANZ,19,14.9438
ANZ,18,13.2174
ANZ,17,13.8151
ANZ,16,11.5779
ANZ,15,10.1129
ANZ,14,9.8754
ANZ,13,9.2772
ANZ,12,8.2215
ANZ,11,7.7769
ANZ,10,7.2916
ANZ,9,7.2304
ANZ,8,7.3155
ANZ,7,7.2434
ANZ,6,7.0189
ANZ,5,7.0209
ANZ,4,5.9735
ANZ,3,5.3593
ANZ,2,4.6478
ANZ,1,4.0493
ANZ,0,3.6495
APA,50,8.67
APA,49,9.8
APA,48,7.6111
APA,47,8.4983
APA,46,8.801
APA,45,7.9126
APA,44,7.8627
APA,43,7.9209
APA,42,7.6477
APA,41,7.5226
APA,40,7.8872
APA,39,6.1943
APA,38,5.5647
APA,37,5.0508
APA,36,4.4247
APA,35,4.5935
APA,34,4.1191
APA,33,3.3424
APA,32,3.3595
APA,31,2.9931
APA,30,2.7286
APA,29,2.6448
APA,28,2.4549
APA,27,2.0981
APA,26,1.9095
APA,25,1.6495
APA,24,1.5629
APA,23,1.3203
APA,22,1.4598
APA,21,1.3147
APA,20,1.7683
APA,19,1.8307
APA,18,1.8278
APA,17,1.9141
APA,16,1.6715
APA,15,1.5965
APA,14,1.3721
APA,13,1.3132
APA,12,1.0808
APA,11,0.9063
APA,10,0.9238
APA,9,0.8946
APA,8,0.9489
APA,7,0.8544
APA,6,0.7461
APA,5,0.7632
APA,4,0.7572
APA,3,0.7184
APA,2,0.6896
APA,1,0.6563
APA,0,0.525
APX,50,12.99
APX,49,12.98
APX,48,11.48
APX,47,13.66
APX,46,13.7141
APX,45,11.3902
APX,44,13.3351
APX,43,10.1834
APX,42,10.4726
APX,41,9.2159
APX,40,9.7744
APX,39,8.5924
APX,38,8.3935
APX,37,7.2101
APX,36,5.7581
APX,35,5.5194
APX,34,4.873
APX,33,4.1501
APX,32,4.1304
APX,31,3.8043
APX,30,3.3498
APX,29,2.6482
APX,28,2.5494
APX,27,2.8229
APX,26,2.8326
APX,25,2.6666
APX,24,2.735
APX,23,2.9303
APX,22,3.1452
APX,21,3.2038
APX,20,3.0976
APX,19,2.7092
APX,18,2.4179
APX,17,1.9518
APX,16,1.6605
APX,15,1.6216
APX,14,1.2019
APX,13,1.4309
APX,12,1.5072
APX,11,1.4213
APX,10,1.1256
APX,9,0.9062
APX,8,0.7061
APX,7,0.6496
APX,6,0.6355
APX,5,0.6402
APX,4,0.6684
APX,3,0.6731
APX,2,0.6167
APX,1,0.5743
APX,0,0.4943
ARB,50,15.89
ARB,49,20.1897
ARB,48,18.8417
ARB,47,17.802
ARB,46,15.48
ARB,45,15.8191
ARB,44,16.4039
ARB,43,15.0535
ARB,42,14.7878
ARB,41,12.7775
ARB,40,10.9291
ARB,39,11.9151
ARB,38,11.6443
ARB,37,10.8153
ARB,36,11.0403
ARB,35,11.0847
ARB,34,9.2955
ARB,33,7.853
ARB,32,7.1164
ARB,31,7.1742
ARB,30,6.8282
ARB,29,6.1291
ARB,28,4.9156
ARB,27,4.4618
ARB,26,3.9476
ARB,25,2.5780000000000003
ARB,24,1.9802
ARB,23,2.7066
ARB,22,2.7066
ARB,21,2.8936
ARB,20,2.7914
ARB,19,2.7794
ARB,18,2.484
ARB,17,2.0951
ARB,16,1.8539
ARB,15,1.895
ARB,14,2.3338
ARB,13,2.4223
ARB,12,2.04
ARB,11,2.0424
ARB,10,1.9023
ARB,9,1.3791
ARB,8,1.4295
ARB,7,1.4733
ARB,6,1.3891
ARB,5,0.9985
ARB,4,0.8266
ARB,3,0.6953
ARB,2,0.4997
ARB,1,0.3921
ARB,0,0.4501
AAD,50,1.495
AAD,49,2.05
AAD,48,1.8437
AAD,47,1.8777
AAD,46,1.9916
AAD,45,2.1632
AAD,44,2.5323
AAD,43,1.9648
AAD,42,2.1195
AAD,41,2.0126
AAD,40,2.0679
AAD,39,2.6467
AAD,38,2.1553
AAD,37,1.7077
AAD,36,1.4579
AAD,35,1.117
AAD,34,1.0039
AAD,33,0.9594
AAD,32,0.7652
AAD,31,0.7208
AAD,30,0.9647
AAD,29,0.6485
AAD,28,0.603
AAD,27,0.7928
AAD,26,0.7499
AAD,25,0.7346
AAD,24,0.539
AAD,23,0.8756
AAD,22,1.0614
AAD,21,1.6645
